bbl,block,lot,bin,hnum_lo,hnum_hi,str_name,condo_no,coop_no
1009210043,921,43,1020409,338,340,EAST 15 STREET,N/A,N/A
1008960017,896,17,1019510,235,237,EAST 14 STREET,N/A,N/A
1008730027,873,27,1017849,133,133,EAST 17 STREET,N/A,N/A
1009210051,921,51,1020414,312,326,EAST 15 STREET,N/A,N/A
1008980046,898,46,1019574,218,218,EAST 18 STREET,N/A,N/A
1008810061,881,61,1018118,132,132,EAST 26 STREET,N/A,N/A
1008770074,877,74,1078734,128,130,EAST 22 STREET,N/A,1056
1008830031,883,31,1018175,139,141,EAST 27 STREET,N/A,N/A
1009040029,904,29,1078778,413,413,2 AVENUE,N/A,1136
1008820075,882,75,1018156,122,122,EAST 27 STREET,N/A,N/A
1009250036,925,36,1020523,333,333,1 AVENUE,N/A,N/A
1008820044,882,44,1018142,360,360,3 AVENUE,N/A,N/A
1008730001,873,1,1080799,101,103,EAST 17 STREET,N/A,N/A
1008730036,873,36,1017856,194,194,3 AVENUE,N/A,N/A
1008740027,874,27,1017875,137,137,EAST 18 STREET,N/A,N/A
1008830066,883,66,1018193,,,EAST 28 STREET,N/A,N/A
1009240034,924,34,1078808,321,321,1 AVENUE,N/A,N/A
1008710078,871,78,1017817,108,108,EAST 16 STREET,N/A,N/A
1008987502,898,7502,1087451,231,235,EAST 17 STREET,1676,N/A
1008830055,883,55,1018187,152,152,EAST 28 STREET,N/A,N/A
1009000027,900,27,1019603,329,343,2 AVENUE,N/A,N/A
1009230039,923,39,1020443,344,348,EAST 18 STREET,N/A,N/A
1008830067,883,67,1018194,113,113,LEXINGTON AVENUE,N/A,N/A
1008767502,876,7502,1076149,244,246,3 AVENUE,609,N/A
1009210039,921,39,1020406,348,348,EAST 15 STREET,N/A,N/A
1008790063,879,63,1018058,136,136,EAST 24 STREET,N/A,N/A
1008810029,881,29,1018106,,,BARUCH COLL ANNEX,N/A,N/A
1009240041,924,41,1083089,346,348,EAST 19 STREET,N/A,N/A
1009040012,904,12,1019773,219,219,EAST 23 STREET,N/A,N/A
1008737501,873,7501,1088551,57,59,IRVING PLACE,2165,N/A
1009240048,924,48,1020500,332,334,EAST 19 STREET,N/A,N/A
1008710060,871,60,1017813,122,124,EAST 16 STREET,N/A,N/A
1009240032,924,32,1020490,317,317,1 AVENUE,N/A,N/A
1008830049,883,49,1018182,386,386,3 AVENUE,N/A,N/A
1008780038,878,38,1018022,286,292,3 AVENUE,N/A,N/A
1008740069,874,69,1017903,112,114,EAST 19 STREET,N/A,1032
1009020009,902,9,1019634,207,209,EAST 21 STREET,N/A,1134
1009240034,924,34,1081639,327,327,1 AVENUE,N/A,N/A
1008990026,899,26,1019588,315,315,2 AVENUE,N/A,N/A
1008750055,875,55,1017931,133,133,EAST 19 STREET,N/A,3399
1008720072,872,72,1017836,108,108,EAST 17 STREET,N/A,N/A
1008750076,875,76,1017943,108,108,EAST 20 STREET,N/A,1043
1009260034,926,34,1020539,345,345,1 AVENUE,N/A,N/A
1008710014,871,14,1017792,117,117,EAST 15 STREET,N/A,N/A
1009250033,925,33,1077010,359 REAR,359 REAR,EAST 19 STREET,N/A,N/A
1008830024,883,24,1018171,108,108,LEXINGTON AVENUE,N/A,N/A
1009040032,904,32,1019777,236,236,EAST 24 STREET,N/A,N/A
1008790033,879,33,1018046,155,155,EAST 23 STREET,N/A,N/A
1008810060,881,60,1088613,134,136,EAST 26 STREET,N/A,N/A
1009210029,921,29,1020404,243,247,1 AVENUE,N/A,N/A
1008780046,878,46,1018026,158,158,EAST 23 STREET,N/A,N/A
1008970069,897,69,1019548,210,212,EAST 17 STREET,N/A,1119
1009040043,904,43,1019781,206,214,EAST 24 STREET,N/A,N/A
1009240007,924,7,1020467,305,305,EAST 18 STREET,N/A,N/A
1009270029,927,29,1078816,369 REAR B,369 REAR B,1 AVENUE,N/A,N/A
1009287502,928,7502,1084795,312,312,EAST 23 STREET,580,N/A
1008830064,883,64,1018191,134,134,EAST 28 STREET,N/A,N/A
1008830072,883,72,1018196,112,112,LEXINGTON AVENUE,N/A,N/A
1008990001,899,1,1019580,205,223,3 AVENUE,N/A,1127
1008750056,875,56,1017932,134,136,EAST 20 STREET,N/A,1041
1009230044,923,44,1020445,336,338,EAST 18 STREET,N/A,N/A
1008830071,883,71,1018195,110,110,LEXINGTON AVENUE,N/A,N/A
1008830068,883,68,1082098,109,109,LEXINGTON AVENUE,N/A,N/A
1009240018,924,18,1020477,327,327,EAST 18 STREET,N/A,N/A
1008740031,874,31,1017879,145,145,EAST 18 STREET,N/A,N/A
1009240058,924,58,1020507,314,314,EAST 19 STREET,N/A,N/A
1009270006,927,6,1020544,305,309,EAST 21 STREET,N/A,N/A
1008800092,880,92,1018089,333,335,PARK AVENUE SOUTH,N/A,N/A
1009220019,922,19,1020420,259,259,1 AVENUE,N/A,N/A
1008710021,871,21,1017794,18,22,IRVING PLACE,N/A,1017
1008830075,883,75,1018199,130,130,EAST 28 STREET,N/A,N/A
1008990038,899,38,1019594,236,236,EAST 19 STREET,N/A,N/A
1009020017,902,17,1077011,223,223,EAST 21 STREET,N/A,N/A
1008750047,875,47,1017928,230,240,3 AVENUE,N/A,1039
1009250023,925,23,1020514,339,339,EAST 19 STREET,N/A,N/A
1008740010,874,10,1017863,113,115,EAST 18 STREET,N/A,N/A
1008780004,878,4,1018011,100,108,EAST 23 STREET,N/A,N/A
1008980021,898,21,1019562,237,237,EAST 17 STREET,N/A,1122
1009240016,924,16,1020475,323,323,EAST 18 STREET,N/A,N/A
1008980014,898,14,1019558,219,219,EAST 17 STREET,N/A,N/A
1009230057,923,57,1020456,312,312,EAST 18 STREET,N/A,N/A
1008970008,897,8,1019524,207,211,EAST 15 STREET,N/A,N/A
1008710010,871,10,1017790,109,111,EAST 15 STREET,N/A,N/A
1008760033,876,33,1017961,250,250,3 AVENUE,N/A,N/A
1009210049,921,49,1020413,328,328,EAST 15 STREET,N/A,N/A
1008760013,876,13,1017951,4,4,GRAMERCY PARK WEST,N/A,N/A
1008730033,873,33,1017853,188,188,3 AVENUE,N/A,N/A
1008800080,880,80,1018086,118,120,EAST 25 STREET,N/A,N/A
